,Season,Home Team,Home Score,-,Away Score,Away Team
0,2014/15,Trojans 1,22.0,-,16.0,Kingfisher 1
1,2014/15,Bec 1,26.0,-,16.0,Norwich Knights 1
2,2014/15,Birmingham City 1,5.0,-,21.0,Nomads 1
3,2014/15,Nomads 1,14.0,-,21.0,KV 1
4,2014/15,Trojans 1,27.0,-,10.0,Tornadoes 1
5,2014/15,Norwich Knights 1,21.0,-,10.0,Kingfisher 1
6,2014/15,Bec 1,33.0,-,10.0,Birmingham City 1
7,2014/15,Tornadoes 1,11.0,-,24.0,Nomads 1
8,2014/15,Birmingham City 1,11.0,-,26.0,Norwich Knights 1
9,2014/15,Bec 1,24.0,-,21.0,Trojans 1
10,2014/15,Norwich Knights 1,24.0,-,19.0,Tornadoes 1
11,2014/15,Birmingham City 1,18.0,-,21.0,Kingfisher 1
12,2014/15,KV 1,24.0,-,11.0,Tornadoes 1
13,2014/15,Nomads 1,18.0,-,8.0,Birmingham City 1
14,2014/15,Norwich Knights 1,16.0,-,25.0,Bec 1
15,2014/15,Kingfisher 1,23.0,-,22.0,Trojans 1
16,2014/15,Birmingham City 1,11.0,-,31.0,Trojans 1
17,2014/15,Trojans 1,18.0,-,14.0,Nomads 1
18,2014/15,Tornadoes 1,20.0,-,15.0,Birmingham City 1
19,2014/15,KV 1,22.0,-,12.0,Norwich Knights 1
20,2014/15,Kingfisher 1,18.0,-,28.0,Bec 1
21,2014/15,Nomads 1,15.0,-,20.0,Bec 1
22,2014/15,Trojans 1,26.0,-,25.0,KV 1
23,2014/15,Nomads 1,19.0,-,21.0,Kingfisher 1
24,2014/15,Norwich Knights 1,14.0,-,18.0,Trojans 1
25,2014/15,KV 1,24.0,-,10.0,Birmingham City 1
26,2014/15,Tornadoes 1,19.0,-,30.0,Bec 1
27,2014/15,Bec 1,19.0,-,11.0,Kingfisher 1
28,2014/15,Tornadoes 1,22.0,-,27.0,Kingfisher 1
29,2014/15,Norwich Knights 1,14.0,-,13.0,Nomads 1
30,2014/15,KV 1,15.0,-,24.0,Bec 1
31,2014/15,Nomads 1,16.0,-,27.0,Trojans 1
32,2014/15,Norwich Knights 1,14.0,-,20.0,KV 1
33,2014/15,Birmingham City 1,16.0,-,26.0,Tornadoes 1
34,2014/15,Kingfisher 1,16.0,-,16.0,KV 1
35,2014/15,KV 1,28.0,-,12.0,Kingfisher 1
36,2014/15,Nomads 1,16.0,-,18.0,Tornadoes 1
37,2014/15,Trojans 1,16.0,-,12.0,Bec 1
38,2014/15,Norwich Knights 1,10.0,-,0.0,Birmingham City 1
39,2014/15,Kingfisher 1,25.0,-,26.0,Tornadoes 1
40,2014/15,Trojans 1,39.0,-,5.0,Birmingham City 1
41,2014/15,Nomads 1,26.0,-,17.0,Norwich Knights 1
42,2014/15,Bec 1,17.0,-,11.0,KV 1
43,2014/15,Tornadoes 1,17.0,-,21.0,KV 1
44,2014/15,KV 1,14.0,-,10.0,Nomads 1
45,2014/15,Birmingham City 1,16.0,-,32.0,Bec 1
46,2014/15,Kingfisher 1,23.0,-,23.0,Norwich Knights 1
47,2014/15,Tornadoes 1,21.0,-,27.0,Trojans 1
48,2014/15,Bec 1,25.0,-,13.0,Tornadoes 1
49,2014/15,Trojans 1,23.0,-,12.0,Norwich Knights 1
50,2014/15,Birmingham City 1,17.0,-,28.0,KV 1
51,2014/15,Kingfisher 1,16.0,-,16.0,Nomads 1
52,2014/15,Bec 1,36.0,-,15.0,Nomads 1
53,2014/15,Tornadoes 1,17.0,-,17.0,Norwich Knights 1
54,2014/15,Kingfisher 1,24.0,-,11.0,Birmingham City 1
55,2014/15,KV 1,12.0,-,18.0,Trojans 1
56,2015/16,Kingfisher 1,14.0,-,19.0,Bec 1
57,2015/16,Tornadoes 1,17.0,-,15.0,Nomads 1
58,2015/16,Norwich Knights 1,16.0,-,22.0,Trojans 1
59,2015/16,Croydon 1,7.0,-,25.0,KV 1
60,2015/16,Tornadoes 1,18.0,-,23.0,Kingfisher 1
61,2015/16,KV 1,13.0,-,34.0,Bec 1
62,2015/16,Nomads 1,20.0,-,12.0,Norwich Knights 1
63,2015/16,Croydon 1,8.0,-,48.0,Trojans 1
64,2015/16,Norwich Knights 1,20.0,-,9.0,KV 1
65,2015/16,Bec 1,20.0,-,18.0,Trojans 1
66,2015/16,Kingfisher 1,22.0,-,23.0,Nomads 1
67,2015/16,Croydon 1,7.0,-,27.0,Tornadoes 1
68,2015/16,KV 1,31.0,-,10.0,Croydon 1
69,2015/16,Nomads 1,24.0,-,16.0,Tornadoes 1
70,2015/16,Trojans 1,27.0,-,14.0,Norwich Knights 1
71,2015/16,Bec 1,22.0,-,14.0,Kingfisher 1
72,2015/16,KV 1,14.0,-,19.0,Tornadoes 1
73,2015/16,Nomads 1,13.0,-,23.0,Trojans 1
74,2015/16,Norwich Knights 1,20.0,-,16.0,Kingfisher 1
75,2015/16,Bec 1,34.0,-,6.0,Croydon 1
76,2015/16,Kingfisher 1,17.0,-,13.0,KV 1
77,2015/16,Norwich Knights 1,17.0,-,34.0,Bec 1
